GHFDB Name,Database Table,Accessed From,Accessor,Declared By
q,heat_flow_surfaceheatflow,SurfaceHeatFlow,value,SurfaceHeatFlow
q_uncertainty,heat_flow_surfaceheatflow,SurfaceHeatFlow,uncertainty,SurfaceHeatFlow
name,fairdm_sample,HeatFlowSite,name,fairdm.core.Sample
lat_NS,fairdm_point,HeatFlowSite,y,fairdm.location.Point
long_EW,fairdm_point,HeatFlowSite,x,fairdm.location.Point
elevation,heat_flow_heatflowsite,HeatFlowSite,elevation,fairdm_geo.SampleLocation
environment,heat_flow_heatflowsite,HeatFlowSite,environment,fairdm_geo.SampleLocation
p_comment,heat_flow_surfaceheatflow,SurfaceHeatFlow,p_comment,SurfaceHeatFlow
corr_HP_flag,heat_flow_surfaceheatflow,SurfaceHeatFlow,corr_HP_flag,SurfaceHeatFlow
total_depth_MD,heat_flow_heatflowsite,HeatFlowSite,length,fairdm_geo.SampleLocation
total_depth_TVD,heat_flow_heatflowsite,HeatFlowSite,vertical_depth,fairdm_geo.VerticalDepthInterval
explo_method,heat_flow_heatflowsite,HeatFlowSite,explo_method,HeatFlowSite
explo_purpose,heat_flow_heatflowsite,HeatFlowSite,explo_purpose,HeatFlowSite
qc,heat_flow_heatflow,HeatFlow,value,
qc_uncertainty,heat_flow_heatflow,HeatFlow,uncertainty,
q_method,heat_flow_heatflow,HeatFlow,method,
q_top,heat_flow_heatflow_interval,HeatFlowInterval,top,
q_bottom,heat_flow_heatflow_interval,HeatFlowInterval,bottom,
probe_penetration,heat_flow_heatflow,HeatFlow,probe_penetration,
publication_reference,fairdm_dataset,Dataset,related_literature,
data_reference,fairdm_dataset,Dataset,reference,
relevant_child,heat_flow_heatflow,HeatFlow,relevant_child,
c_comment,heat_flow_heatflow,HeatFlow,c_comment,
corr_IS_flag,heat_flow_heatflow,HeatFlow,corr_IS_flag,
corr_T_flag,heat_flow_heatflow,HeatFlow,corr_T_flag,
corr_S_flag,heat_flow_heatflow,HeatFlow,corr_S_flag,
corr_E_flag,heat_flow_heatflow,HeatFlow,corr_E_flag,
corr_TOPO_flag,heat_flow_heatflow,HeatFlow,corr_TOPO_flag,
corr_PAL_flag,heat_flow_heatflow,HeatFlow,corr_PAL_flag,
corr_SUR_flag,heat_flow_heatflow,HeatFlow,corr_SUR_flag,
corr_CONV_flag,heat_flow_heatflow,HeatFlow,corr_CONV_flag,
corr_HR_flag,heat_flow_heatflow,HeatFlow,corr_HR_flag,
expedition,heat_flow_heatflow,HeatFlow,expedition,
probe_type,heat_flow_heatflow,HeatFlow,probe_type,
probe_length,heat_flow_heatflow,HeatFlow,probe_length,
probe_tilt,heat_flow_heatflow,HeatFlow,probe_tilt,
water_temperature,heat_flow_heatflow,HeatFlow,water_temperature,
geo_lithology,heat_flow_heatflow_interval,HeatFlowInterval,lithology,
geo_stratigraphy,heat_flow_heatflow_interval,HeatFlowInterval,age,
T_grad_mean,heat_flow_thermalgradient,ThermalGradient,value,
T_grad_uncertainty,heat_flow_thermalgradient,ThermalGradient,uncertainty,
T_grad_mean_cor,heat_flow_thermalgradient,ThermalGradient,corrected_value,
T_grad_uncertainty_cor,heat_flow_thermalgradient,ThermalGradient,corrected_uncertainty,
T_method_top,heat_flow_thermalgradient,ThermalGradient,method_top,
T_method_bottom,heat_flow_thermalgradient,ThermalGradient,method_bottom,
T_shutin_top,heat_flow_thermalgradient,ThermalGradient,shutin_top,
T_shutin_bottom,heat_flow_thermalgradient,ThermalGradient,shutin_bottom,
T_corr_top,heat_flow_thermalgradient,ThermalGradient,correction_top,
T_corr_bottom,heat_flow_thermalgradient,ThermalGradient,correction_bottom,
T_number,heat_flow_thermalgradient,ThermalGradient,number,
q_date,heat_flow_heatflow,HeatFlow,date_acquired,
tc_mean,heat_flow_intervalconductivity,IntervalConductivity,value,
tc_uncertainty,heat_flow_intervalconductivity,IntervalConductivity,uncertainty,
tc_source,heat_flow_intervalconductivity,IntervalConductivity,source,
tc_location,heat_flow_intervalconductivity,IntervalConductivity,location,
tc_method,heat_flow_intervalconductivity,IntervalConductivity,method,
tc_saturation,heat_flow_intervalconductivity,IntervalConductivity,saturation,
tc_pT_conditions,heat_flow_intervalconductivity,IntervalConductivity,pT_conditions,
tc_pT_fuction,heat_flow_intervalconductivity,IntervalConductivity,pT_function,
tc_number,heat_flow_intervalconductivity,IntervalConductivity,strategy,
tc_strategy,heat_flow_intervalconductivity,IntervalConductivity,number,
Ref_ISGN,heat_flow_heatflow,HeatFlow,IGSN,
Reviewer_name,heat_flow_review,Review,name,
Reviewer_comment,heat_flow_review,Review,comment,
Review_date,heat_flow_review,Review,completion_date,
Country,heat_flow_heatflowsite,HeatFlowSite,country,
Region,heat_flow_heatflowsite,HeatFlowSite,region,
Continent,heat_flow_heatflowsite,HeatFlowSite,continent,
Domain,heat_flow_heatflowsite,HeatFlowSite,domain,
